iso3c,year,E_total,E_efpv,region,subregion,income_group,SEI,SIDS,lf_part_pct,GreenPotShare,GreenPotSharew,country,gdp_const,gdppc_const,gov_exp_pctgdp,lf_participation,exports_const,imports_const,access_electricity,va_agriculture,va_industry,va_services,adj_savings,gdppc_growth,educ_secondary_complete,pop_0_14_pct,pop_65plus_pct,age_dependency_ratio,urban_pop_pct,fuel_exports_pct_exports,nat_resource_rents_pctgdp,gross_capital_const,gross_capital_pctgdp,hc,rnna,democracy,PR,CL,vulnerability,dge,mimic,gini,va_complete,va_total,hhi_va,open_pct,ays,self_emp_pct,gross_savings_pct,DeltaY,deltalnK,DeltaLnL,DeltaLnGDPpc,LnGDPpc
PER,2007,14897.453,6534.089000000001,2,5,4,1,1,78.228,0.4386044379532529,0.3431114797220707,Peru,125757364463.195,4407.79121686416,18.1434002111455,78.228,34616571513.7768,26519122828.5097,82,10584714397.3007,42440201552.4497,62655484815.0794,13.8524281099178,7.73406209571857,49.1300010681152,30.6604983635347,6.44280920001294,58.9908779480438,75.803,8.57977598074378,14.213314090691,25529483563.4829,22.0323873215866,2.738030195236206,678814.6875,5.5,6,5,0.436956745724308,53.70021057128906,57.2425537109375,0.503,TRUE,115680400764.8298,0.43632762262713276,48.61400730148006,8.18681,56.2207837211232,29.3885070989981,NA,NA,NA,NA,8.391128985115767
TUR,2007,20737.647,10349.119,3,16,4,1,1,46.23,0.4990498198759001,0.2307107317286286,Turkey,590328139721.3,8414.25350387565,NA,46.23,138805134400.683,178862574773.623,99.7,42612526165.099,159041472746.288,320941980611.038,9.99475036082326,4.87467469551008,23.6900005340576,27.1284968579624,6.95365830609516,51.7039880562328,69.053,4.79888088392976,0.393584701213481,NA,28.6014978751041,2.147148847579956,4440432,5,5,5,0.375443383185776,29.100021362304688,31.80826759338379,0.405,TRUE,522595979522.42505,0.4764212672150656,53.812056007406355,6.14236,39.5379256374501,24.5297325260125,0.049204439598572236,NA,-9.08088536165419e-4,0.04759587696381473,9.037682392514721
USA,2007,146046.519,98915.12599999999,2,9,1,1,1,64.994,0.6772850642198462,0.44019465463904683,United States of America,16312522122000,54152.8292651299,20.8646436963685,64.994,1736026931000,2406927005000,100,NA,NA,NA,4.77853200825538,1.03834382171036,NA,20.0187977424137,12.310107950036,47.7735820707482,80.269,3.96254132636237,1.07811498701399,3450985491000,22.5575761277216,3.657094717025757,58882184,7,7,7,0.306248462811898,8.400694847106934,8.590173721313477,0.382,FALSE,NA,NA,25.39738432239473,12.951136,7.21964788355145,17.4731391546409,0.019840453034291272,-0.016543022855714185,-0.00278100187685304,0.010329900606567577,10.899565499727748
CYP,2008,382.852,242.18400000000003,3,16,1,2,1,63.678,0.6325786465788348,0.4028134305684704,Cyprus,21592294823.2158,27449.04296875,37.9683043356125,63.678,11038085107.207,13686274615.0323,100,452472240.671797,3646783787.58723,14781867355.558,7.99189192747836,1.07656078281022,64.5,18.0489658133877,10.8584438599796,40.6615706533581,67.839,0,0.0195934764177584,5821010740.61325,28.6449277573261,2.687711000442505,163818.984375,7,7,7,0.362721024449606,26.28080177307129,26.950931549072266,0.294,TRUE,18881123383.817028,0.650797854203614,114.5054748680809,11.28385,19.9460183515705,15.8823990480569,NA,NA,NA,NA,10.220086581803484
CZE,2008,5002.497,3724.0090000000005,4,4,1,1,1,58.409,0.7444300316421979,0.4348141371818914,Czechia,178518044738.046,17190.6470317686,32.1223391133862,58.409,111354742253.163,106681529061.436,100,3530403211.5453,61075195243.6608,96454225763.5042,9.58823704799554,1.76470870979524,86.1399993896484,14.2086860627603,14.7818728369816,40.8263492689023,73.394,3.01206721644122,1.53373245830398,53428713328.9293,30.9994095449633,3.628108501434326,1917497.125,7,7,7,0.259531328320437,16.9816837310791,17.402780532836914,0.252,TRUE,161059824218.7103,0.5029270091903735,122.13682467480601,12.19182,16.1221623191461,33.1630408830671,0.3670040564660866,0.5122759241912469,-0.044223213007153817,0.3572555040134624,9.752120737678336
FRA,2008,25885.848,18603.403,4,17,1,1,1,56.132,0.7186707964908083,0.4034042914862205,France,2334072134826.58,36257.3658869458,45.2341073217247,56.132,661106627688.58,652411481677.99,100,33126039586.9113,446011088669.627,1592841131707.54,10.6869726862381,-0.178410671464903,60.3499984741211,18.4587311698165,16.5489941970548,53.8644415960553,77.868,5.06960349418849,0.0539800650065068,546327868649.985,23.4671040402669,3.022751808166504,14244773,7,7,7,0.302608067955329,14.602388381958008,14.477235794067385,0.299,TRUE,2071978259964.0784,0.6375742422846162,56.27581469174102,10.65437,10.6195566264545,22.6854305555925,NA,NA,NA,NA,10.498397836522393
GRC,2008,4569.928,2849.881999999999,4,14,1,1,1,52.328,0.6236163895798794,0.32632598433935933,Greece,265024939417.418,23923.8800608727,47.8546535471323,52.328,60843515605.148,88087624605.6769,100,7644270876.23515,44373193949.4347,174461728598.201,-2.88854658139654,-0.207784595461192,52.6699981689453,14.6347813714919,18.7114015581294,50.0289146353289,75.568,21.6364957928643,0.347201010426443,63726112198.9457,24.8460183343649,2.898038625717163,2409200.5,6.5,7,6,0.345133075352497,26.29341506958008,26.786346435546875,0.324,TRUE,226479193423.87085,0.6329210748256535,56.19514168674377,10.10492,35.0122022487158,13.3103195423429,NA,NA,NA,NA,10.082632404812669
IRN,2008,20032.433,8000.027,3,13,4,1,1,42.271,0.39935373801075486,0.1688108185945262,Iran Islamic Republic of,380285006930.526,5035.94008526563,18.2510103194045,42.271,76090595095.4434,181092891117.651,98.8,28266055642.5494,151835288614.668,199373876788.884,NA,-0.959303456532822,39.1300010681152,24.022978008369,4.93334608236979,40.7584832601421,69.458,NA,33.5227511829978,225309165879.817,41.7574530936824,2.0314040184020996,5053408.5,2,2,2,0.358218062466114,16.9376277923584,17.091083526611328,0.399,TRUE,379475221046.10144,0.4416821527597411,67.62914170320659,9.39151,45.9699577215283,48.2868901216092,0.0025054243267845777,0.09233651633794437,-0.04988116487381422,-0.009639344125536908,8.524355497807052
KHM,2008,7063.307,2094.0179999999996,3,12,3,1,1,78.939,0.2964642482621808,0.2340259129356829,Cambodia,15326369460.3469,1090.57475806147,7.27873986812617,78.939,6478700151.89878,7740043740.32663,26.4,4055500957.70121,4100390127.90782,6250540749.55023,11.3516230614504,5.85728555368171,NA,34.6590323058428,3.66686769635947,62.1426116404343,19.571,1.23445790961278e-5,3.09984061594357,3895828079.77179,23.0800200013877,1.6786450147628784,66403.3984375,2.5,2,3,0.516807281039157,45.100547790527344,47.43239212036133,0.361,TRUE,14406431835.15926,0.3485000839368523,92.77307276855623,4.03048,65.5689671025369,15.1731699781476,0.07210078686300037,0.15327069312748876,-0.02855999065436965,0.05692163826226082,6.994460137222709
MEX,2008,44943.527,24846.617999999995,2,5,4,1,1,60.638,0.5528408573719635,0.33523163909321124,Mexico,1084575522159.75,9826.3421836048,NA,60.638,268626437940.575,347268516677.411,98.9,33562441805.4061,349256348083.766,629004418873.635,6.56985561605366,-0.519889925183975,25.0900001525879,30.6450452482194,5.95121664567386,57.7194070815135,77.222,17.2231627311777,6.7408329915323,266062932635.172,24.1213158858044,2.5714151859283447,8049809.5,5.5,6,5,0.373901487525765,28.57198715209961,30.13224983215332,0.468,TRUE,1011823208762.8071,0.5067005105216056,56.78672826688313,7.94889,33.6020307201488,19.4660634129328,0.009389102731130805,0.05445795633587025,-0.00465618360281983,-0.005212460551529574,9.1928220364256
